NOM_SC;NOM_FR;COMMUNE;CODE_INSEE;DATE_OBS
Turdus torquatus Linnaeus, 1758;Merle à plastron;ANTONY;92002;2001-01-01
Tytthaspis sedecimpunctata (Linnaeus, 1758);;CHATENAY MALABRY;92019;2001-01-01
Vespa crabro Linnaeus, 1758;;CHATENAY MALABRY;92019;2001-01-01
Chloris chloris (Linnaeus, 1758);Verdier d'Europe;LE PLESSIS ROBINSON;92060;2001-01-05
Corvus corone Linnaeus, 1758;Corneille noire;LE PLESSIS ROBINSON;92060;2001-01-05
Dendrocopos minor (Linnaeus, 1758);Pic épeichette;LE PLESSIS ROBINSON;92060;2001-01-05
Erithacus rubecula (Linnaeus, 1758);Rougegorge familier;LE PLESSIS ROBINSON;92060;2001-01-05
Garrulus glandarius (Linnaeus, 1758);Geai des chênes;LE PLESSIS ROBINSON;92060;2001-01-05
Parus caeruleus Linnaeus, 1758;Mésange bleue;LE PLESSIS ROBINSON;92060;2001-01-05
Parus major Linnaeus, 1758;Mésange charbonnière;LE PLESSIS ROBINSON;92060;2001-01-05
Phoenicurus phoenicurus (Linnaeus, 1758);Rougequeue à front blanc;LE PLESSIS ROBINSON;92060;2001-01-05
Troglodytes troglodytes (Linnaeus, 1758);Troglodyte mignon;LE PLESSIS ROBINSON;92060;2001-01-05
Alburnus alburnus (Linnaeus, 1758);Ablette;VILLENEUVE LA GARENNE;92078;2001-06-27
Anguilla anguilla (Linnaeus, 1758);Anguille européenne;NEUILLY SUR SEINE;92051;2001-06-27
Gobio gobio (Linnaeus, 1758);Goujon;VILLENEUVE LA GARENNE;92078;2001-06-27
Oncorhynchus mykiss (Walbaum, 1792);Truite arc-en-ciel;VILLENEUVE LA GARENNE;92078;2001-06-27
Rutilus rutilus (Linnaeus, 1758);Gardon;VILLENEUVE LA GARENNE;92078;2001-06-27
Salmo trutta Linnaeus, 1758;Truite commune, Truite d'Europe;NEUILLY SUR SEINE;92051;2001-06-27
Chorthippus brunneus (Thunberg, 1815);Criquet duettiste, Sauteriot;LE PLESSIS ROBINSON;92060;2001-07-30
Hippodamia variegata (Goeze, 1777);;LE PLESSIS ROBINSON;92060;2001-07-30
Lasius brunneus (Latreille, 1798);;LE PLESSIS ROBINSON;92060;2001-07-30
Lasius emarginatus (Olivier, 1792);;LE PLESSIS ROBINSON;92060;2001-07-30
Myrmica rubra (Linnaeus, 1758);;LE PLESSIS ROBINSON;92060;2001-07-30
Silvanus unidentatus (Olivier, 1790);;LE PLESSIS ROBINSON;92060;2001-07-30
Uleiota planata (Linnaeus, 1761);;LE PLESSIS ROBINSON;92060;2001-07-30
Adrastus rachifer (Fourcroy, 1785);;SCEAUX;92071;2002-01-01
Apus apus (Linnaeus, 1758);Martinet noir;SAINT CLOUD;92064;2002-01-01
Chilocorus bipustulatus (Linnaeus, 1758);;SCEAUX;92071;2002-01-01
Corvus corone Linnaeus, 1758;Corneille noire;SAINT CLOUD;92064;2002-01-01
Garrulus glandarius (Linnaeus, 1758);Geai des chênes;SAINT CLOUD;92064;2002-01-01
Hirundo rustica Linnaeus, 1758;Hirondelle rustique, Hirondelle de cheminée;SAINT CLOUD;92064;2002-01-01
Leptophyes punctatissima (Bosc, 1792);Leptophye ponctuée, Sauterelle ponctuée, Barbitiste trèsponctué;SCEAUX;92071;2002-01-01
Myrmica rubra (Linnaeus, 1758);;SCEAUX;92071;2002-01-01
Nyctalus leisleri (Kuhl, 1817);Noctule de Leisler;MEUDON;92048;2002-01-01
Nyctalus noctula (Schreber, 1774);Noctule commune;VILLE D AVRAY;92077;2002-01-01
Passer domesticus (Linnaeus, 1758);Moineau domestique;SAINT CLOUD;92064;2002-01-01
Pieris rapae (Linnaeus, 1758);Piéride de la Rave (La), Petit Blanc du Chou (Le), Petite Piéride du Chou (La);SCEAUX;92071;2002-01-01
Pipistrellus kuhlii (Kuhl, 1817);Pipistrelle de Kuhl;VILLE D AVRAY;92077;2002-01-01
Pipistrellus nathusii (Keyserling & Blasius, 1839);Pipistrelle de Nathusius;MEUDON;92048;2002-01-01
Pleuroptya ruralis (Scopoli, 1763);;SCEAUX;92071;2002-01-01
Pterostichus madidus (Fabricius, 1775);;SCEAUX;92071;2002-01-01
Stenodema laevigata (Linnaeus, 1758);;SCEAUX;92071;2002-01-01
Streptopelia decaocto (Frivaldszky, 1838);Tourterelle turque;SAINT CLOUD;92064;2002-01-01
Sylvia communis Latham, 1787;Fauvette grisette;SAINT CLOUD;92064;2002-01-01
Vespula vulgaris (Linnaeus, 1758);;SCEAUX;92071;2002-01-01
Bufo bufo (Linnaeus, 1758);Crapaud commun;RUEIL MALMAISON;92063;2002-01-03
Agriphila tristella (Denis & SchiffermÃ¼ller, 1775);;SAINT CLOUD;92064;2002-01-07
Chloroclystis v-ata (Haworth, 1809);;SAINT CLOUD;92064;2002-01-07
Lucanus cervus (Linnaeus, 1758);Lucane Cerf-volant;SAINT CLOUD;92064;2002-01-07
Noctua janthe (Borkhausen, 1792);;SAINT CLOUD;92064;2002-01-07
Pararge aegeria (Linnaeus, 1758);Tircis (Le), Argus des Bois (L'), Égérie (L');SAINT CLOUD;92064;2002-01-07
Pleuroptya ruralis (Scopoli, 1763);;SAINT CLOUD;92064;2002-01-07
Polyommatus icarus (Rottemburg, 1775);Azuré de la Bugrane (L'), Argus bleu (L'), Azuré d'Icare (L'), Icare (L'), Lycène Icare (Le), Argus Icare (L');SAINT CLOUD;92064;2002-01-07
Tettigonia viridissima (Linnaeus, 1758);Grande Sauterelle verte, Sauterelle verte (des prés),  Tettigonie verte, Sauterelle à coutelas;SAINT CLOUD;92064;2002-01-07
Thalpophila matura (Hufnagel, 1766);;SAINT CLOUD;92064;2002-01-07
Vanessa atalanta (Linnaeus, 1758);Vulcain (Le), Amiral (L'), Vanesse Vulcain (La), Chiffre (Le), Atalante (L');SAINT CLOUD;92064;2002-01-07
Agathidium nigripenne (Fabricius, 1792);;CHATENAY MALABRY;92019;2003-01-01
Agrilus ater (Linnaeus, 1767);;VILLE D AVRAY;92077;2003-01-01
Agrilus laticornis (Illiger, 1803);;VILLE D AVRAY;92077;2003-01-01
Agrilus salicis Frivaldszki, 1877;;CHATENAY MALABRY;92019;2003-01-01
Agrilus;;CHATENAY MALABRY;92019;2003-01-01
Agriotes acuminatus (Stephens, 1830);;VILLE D AVRAY;92077;2003-01-01
Agriotes pilosellus (SchÃ¶nherr, 1817);;CHATENAY MALABRY;92019;2003-01-01
Alcedo atthis (Linnaeus, 1758);Martin-pêcheur d'Europe;CHATENAY MALABRY;92019;2003-01-01
Ampedus quercicola (Buysson, 1887);;VILLE D AVRAY;92077;2003-01-01
Anas platyrhynchos Linnaeus, 1758;Canard colvert;CHATENAY MALABRY;92019;2003-01-01
Athous haemorrhoidalis (Fabricius, 1801);;VILLE D AVRAY;92077;2003-01-01
Athous vittatus (Gmelin, 1790);;VILLE D AVRAY;92077;2003-01-01
Brachygonus megerlei (Lacordaire in Boisduval & Lacordaire, 1835);;CHATENAY MALABRY;92019;2003-01-01
Brachygonus megerlei (Lacordaire in Boisduval & Lacordaire, 1835);;MEUDON;92048;2003-01-01
Cantharis decipiens Baudi, 1871;;MEUDON;92048;2003-01-01
Carduelis cannabina (Linnaeus, 1758);Linotte mélodieuse;CHATENAY MALABRY;92019;2003-01-01
Carduelis carduelis (Linnaeus, 1758);Chardonneret élégant;ANTONY;92002;2003-01-01
Cerambyx cerdo Linnaeus, 1758;Grand Capricorne;MEUDON;92048;2003-01-01
Cerambyx cerdo Linnaeus, 1758;Grand Capricorne;VILLE D AVRAY;92077;2003-01-01
Colobicus hirtus (Rossi, 1790);;CHATENAY MALABRY;92019;2003-01-01
Colydium elongatum (Fabricius, 1787);;CHATENAY MALABRY;92019;2003-01-01
Colydium elongatum (Fabricius, 1787);;VILLE D AVRAY;92077;2003-01-01
Cychramus luteus (Fabricius, 1787);;MEUDON;92048;2003-01-01
Dendrocopos major (Linnaeus, 1758);Pic épeiche;ANTONY;92002;2003-01-01
Dendrophilus punctatus (Herbst, 1792);;MEUDON;92048;2003-01-01
Diplocoelus fagi GuÃ©rin-MÃ©nÃ©ville, 1838;;VILLE D AVRAY;92077;2003-01-01
Dorcus parallelipipedus (Linnaeus, 1785);;CHATENAY MALABRY;92019;2003-01-01
Dromaeolus barnabita (Villa, 1837);;MEUDON;92048;2003-01-01
Dromius quadrimaculatus (Linnaeus, 1758);;MEUDON;92048;2003-01-01
Eptesicus serotinus (Schreber, 1774);Sérotine commune;RUEIL MALMAISON;92063;2003-01-01
Gallinula chloropus (Linnaeus, 1758);Poule-d'eau, Gallinule poule-d'eau;ANTONY;92002;2003-01-01
Gallinula chloropus (Linnaeus, 1758);Poule-d'eau, Gallinule poule-d'eau;CHATENAY MALABRY;92019;2003-01-01
Gnathoncus buyssoni Auzat, 1917;;CHATENAY MALABRY;92019;2003-01-01
Harpalus affinis (Schrank, 1781);;VILLE D AVRAY;92077;2003-01-01
Hippolais polyglotta (Vieillot, 1817);Hypolaïs polyglotte, Petit contrefaisant;CHATENAY MALABRY;92019;2003-01-01
